idx;x_left;x_right;expected_letter;expected_kind;best;S1;h2;S2;h3;S3;h4;S4;h5;S5
26;1297;1340;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
27;1345;1354;;punct;V;0.09115951398788687;Y;0.08858789798307642;C;0.08525994248527713;Q;0.08495251963617521;J;0.08456664266120775
28;1376;1405;S;letter;S;0.1689269577058031;B;0.14180029626421467;D;0.13767397164179346;Q;0.13524635084467956;Ñ;0.12618453205997313
29;1410;1429;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
30;1434;1483;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
31;1488;1531;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
32;1554;1611;M;letter;M;0.18385309373052702;D;0.14780006464900397;H;0.14244230632717875;B;0.13637140031733394;K;0.11201691745472094
33;1616;1635;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
34;1640;1683;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
35;1688;1735;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
36;1740;1783;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
37;1806;1830;J;letter;J;0.19852507395517022;I;0.15884192157533253;X;0.15248078283827882;R;0.14230495504435403;E;0.14052300828540285
38;1835;1882;U;letter;H;0.22052847915034254;U;0.1930451934712829;D;0.1834276745339027;K;0.16844888098110136;B;0.16809640835707262
39;1887;1936;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
40;1941;1977;T;letter;T;0.2336732624138977;I;0.22266137618064646;Y;0.18132345316423665;E;0.16259659302252236;X;0.15848642105486047
41;1982;2025;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
42;2030;2059;S;letter;S;0.1689269577058031;B;0.14180029626421467;D;0.13767397164179346;Q;0.13524635084467956;Ñ;0.12618453205997313
43;2082;2119;E;letter;E;0.17457697428687097;B;0.1555705402681425;R;0.13182552775851517;K;0.13171548408056175;F;0.13072608449201045
44;2124;2173;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
45;2196;2233;L;letter;L;0.21195750314457742;E;0.2040348367280684;K;0.1614621057743379;F;0.1517376869502387;B;0.14197138559803638
46;2238;2285;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
47;2308;2365;M;letter;M;0.18385309373052702;D;0.14780006464900397;H;0.14244230632717875;B;0.13637140031733394;K;0.11201691745472094
48;2370;2389;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
49;2394;2423;S;letter;S;0.1689269577058031;B;0.14180029626421467;D;0.13767397164179346;Q;0.13524635084467956;Ñ;0.12618453205997313
50;2428;2485;M;letter;M;0.18385309373052702;D;0.14780006464900397;H;0.14244230632717875;B;0.13637140031733394;K;0.11201691745472094
51;2490;2537;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
52;2560;2605;D;letter;D;0.16002112817181202;B;0.1511289915075799;M;0.1427674638843431;H;0.13989363996470877;R;0.11533067778689339
53;2610;2629;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
54;2634;2677;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
55;2682;2719;E;letter;E;0.17457697428687097;B;0.1555705402681425;R;0.13182552775851517;K;0.13171548408056175;F;0.13072608449201045
56;2724;2764;C;letter;C;0.18589950757153195;D;0.1520939765535537;G;0.15125162337093412;O;0.1425142309942343;Q;0.14199962508411998
57;2769;2809;C;letter;C;0.18589950757153195;D;0.1520939765535537;G;0.15125162337093412;O;0.1425142309942343;Q;0.14199962508411998
58;2814;2833;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
59;2838;2867;;punct;S;0.16119802121672142;G;0.15240453667903767;Ñ;0.14468230680507976;B;0.1392814650294229;D;0.1384956048481803
60;2871;2920;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
